"Date","Title","Dev Gross","Paying share","ARPPU","New paying users","Paying users","DAU"
"Total:","",132025620,2.182,50,2570765,2526957,1198996.53
"01.01.2017",,125548,1.29,17,1176,6596,511450
,"Guns of Boom",270,0.041,11,15,24,58435
,"Airport City",21253,1.013,21,377,959,94651
,"Mirrors of Albion",25415,2.053,17,205,1498,72980
,"The Tribez",62807,1.305,18,470,3225,247182
,"Paradise Island 2",15646,2.378,13,106,878,36926
,"Mystery Manor",157,0.94,15,3,12,1276
"02.01.2017",,93219,1.111,14,1294,5847,526139
,"Guns of Boom",324,0.051,14,14,24,46723
,"Airport City",19601,0.999,17,451,981,98234
,"Mirrors of Albion",14677,1.756,10,267,1397,79566
,"The Tribez",41422,0.975,14,440,2545,260988
,"Paradise Island 2",17079,2.253,14,119,885,39278
,"Mystery Manor",116,1.111,9,3,15,1350
"03.01.2017",,76027,0.935,15,1171,4881,521794
,"Guns of Boom",312,0.05,14,15,23,46030
,"Airport City",19691,1.001,18,425,950,94934
,"Mirrors of Albion",13920,1.746,10,239,1376,78787
,"The Tribez",34385,0.824,16,397,2150,260924
,"Paradise Island 2",7691,0.945,14,94,376,39805
,"Mystery Manor",28,0.457,5,1,6,1314
"04.01.2017",,73967,0.958,13,1239,4946,516205
,"Guns of Boom",522,0.047,24,14,22,46688
,"Airport City",17764,1.023,17,380,950,92845
,"Mirrors of Albion",17788,1.943,12,360,1517,78092
,"The Tribez",30742,0.82,13,389,2111,257559
,"Paradise Island 2",7051,0.856,14,95,340,39726
,"Mystery Manor",100,0.463,18,1,6,1295
"05.01.2017",,82220,1.007,14,966,5112,507603
,"Guns of Boom",243,0.036,15,8,16,44274
,"Airport City",18960,0.99,18,303,924,93375
,"Mirrors of Albion",14219,1.782,11,225,1386,77774
,"The Tribez",31617,0.828,14,328,2082,251325
,"Paradise Island 2",17080,1.761,17,101,697,39578
,"Mystery Manor",100,0.548,15,1,7,1277
"06.01.2017",,92907,1.16,14,1232,5846,504050
,"Guns of Boom",166,0.029,13,6,13,44995
,"Airport City",31491,1.836,16,565,1733,94373
,"Mirrors of Albion",20227,1.866,14,187,1415,75835
,"The Tribez",28497,0.779,13,352,1931,247751
,"Paradise Island 2",12386,1.86,13,118,741,39836
,"Mystery Manor",141,1.032,12,4,13,1260
"07.01.2017",,114746,1.815,11,1281,9293,512129
,"Guns of Boom",136,0.041,7,17,20,48205
,"Airport City",29097,1.582,17,516,1504,95046
,"Mirrors of Albion",27676,2.146,16,211,1667,77683
,"The Tribez",43036,2.129,7,405,5306,249209
,"Paradise Island 2",14629,1.922,14,132,782,40680
,"Mystery Manor",172,1.072,13,,14,1306
"08.01.2017",,155006,1.873,14,1435,9676,516547
,"Guns of Boom",236,0.053,10,17,24,45154
,"Airport City",28685,1.607,15,500,1537,95645
,"Mirrors of Albion",25210,2.333,14,298,1868,80080
,"The Tribez",86083,2.141,14,478,5420,253186
,"Paradise Island 2",14686,1.977,13,136,814,41183
,"Mystery Manor",105,1.001,9,6,13,1299
"09.01.2017",,112915,1.277,16,1074,6249,489375
,"Guns of Boom",77,0.024,8,6,9,37714
,"Airport City",17834,1.035,17,305,927,89551
,"Mirrors of Albion",21172,2.068,13,253,1557,75290
,"The Tribez",68421,1.382,17,404,3401,246043
,"Paradise Island 2",5314,0.872,12,103,344,39455
,"Mystery Manor",96,0.832,9,3,11,1322
"10.01.2017",,106835,1.263,15,928,6067,480277
,"Guns of Boom",122,0.046,8,9,16,34778
,"Airport City",16287,0.91,17,262,797,87602
,"Mirrors of Albion",13451,1.85,10,165,1377,74430
,"The Tribez",58062,1.185,17,355,2875,242693
,"Paradise Island 2",18877,2.521,14,137,996,39503
,"Mystery Manor",36,0.472,8,,6,1271
"11.01.2017",,90635,1.226,14,868,5858,477759
,"Guns of Boom",133,0.021,19,6,7,32992
,"Airport City",16240,0.92,17,259,808,87829
,"Mirrors of Albion",12482,1.957,8,175,1480,75628
,"The Tribez",45995,1.136,17,302,2729,240279
,"Paradise Island 2",15756,2.077,15,121,825,39726
,"Mystery Manor",29,0.69,4,5,9,1305
"12.01.2017",,69706,0.947,13,877,4547,480274
,"Guns of Boom",87,0.046,8,18,16,34629
,"Airport City",19864,1.037,17,307,942,90822
,"Mirrors of Albion",11167,1.645,9,176,1237,75189
,"The Tribez",25241,0.72,13,274,1723,239176
,"Paradise Island 2",13265,1.579,16,98,620,39273
,"Mystery Manor",83,0.759,11,4,9,1185
"13.01.2017",,134545,1.226,19,1156,6038,492361
,"Guns of Boom",599,0.098,13,44,45,46056
,"Airport City",84886,2.688,27,508,2510,93379
,"Mirrors of Albion",14211,1.666,11,173,1233,73993
,"The Tribez",22377,0.693,12,328,1657,239085
,"Paradise Island 2",11840,1.496,14,98,580,38775
,"Mystery Manor",633,1.212,49,5,13,1073
"14.01.2017",,162810,1.886,14,1270,9643,511234
,"Guns of Boom",494,0.094,10,65,50,53008
,"Airport City",56598,2.093,22,511,2060,98426
,"Mirrors of Albion",22354,2.039,14,231,1551,76065
,"The Tribez",38833,1.935,7,347,4703,243032
,"Paradise Island 2",44417,3.185,26,115,1263,39652
,"Mystery Manor",115,1.522,8,1,16,1051
"15.01.2017",,142692,1.575,15,1493,8075,512623
,"Guns of Boom",635,0.096,13,48,47,48748
,"Airport City",59980,2.215,23,646,2202,99404
,"Mirrors of Albion",26019,2.207,15,371,1732,78479
,"The Tribez",32057,1.205,9,302,2939,243821
,"Paradise Island 2",23974,2.789,16,121,1147,41132
,"Mystery Manor",27,0.77,4,5,8,1039
"16.01.2017",,79591,0.952,15,1055,4664,489705
,"Guns of Boom",923,0.145,17,46,55,37846
,"Airport City",19502,1.098,16,390,1032,93961
,"Mirrors of Albion",16426,1.73,12,251,1306,75471
,"The Tribez",24975,0.607,14,273,1462,240921
,"Paradise Island 2",17622,1.968,16,92,796,40450
,"Mystery Manor",142,1.231,12,3,13,1056
"17.01.2017",,67938,0.909,13,923,4371,480688
,"Guns of Boom",768,0.144,14,33,54,37439
,"Airport City",13589,0.858,15,360,792,92295
,"Mirrors of Albion",13594,1.821,10,205,1377,75598
,"The Tribez",22203,0.57,14,245,1336,234508
,"Paradise Island 2",17734,2.014,17,79,802,39823
,"Mystery Manor",49,0.976,6,1,10,1025
"18.01.2017",,103760,1.2,16,939,5736,478171
,"Guns of Boom",452,0.088,13,27,34,38747
,"Airport City",14155,0.878,15,317,801,91216
,"Mirrors of Albion",13115,1.639,10,211,1239,75606
,"The Tribez",72113,1.474,18,334,3421,232052
,"Paradise Island 2",3872,0.591,12,50,234,39573
,"Mystery Manor",53,0.716,8,,7,977
"19.01.2017",,94808,1.15,15,934,5529,480945
,"Guns of Boom",177,0.059,8,21,23,38856
,"Airport City",17035,0.936,16,315,850,90779
,"Mirrors of Albion",18500,1.907,12,202,1489,78078
,"The Tribez",54846,1.285,17,343,2993,232847
,"Paradise Island 2",2540,0.419,10,52,165,39382
,"Mystery Manor",1710,0.897,229,1,9,1003
"20.01.2017",,100235,1.266,15,1188,6155,486034
,"Guns of Boom",325,0.082,9,33,35,42772
,"Airport City",26322,1.763,14,522,1645,93325
,"Mirrors of Albion",21046,1.951,14,227,1470,75346
,"The Tribez",48958,1.197,17,335,2796,233503
,"Paradise Island 2",3517,0.498,10,69,200,40125
,"Mystery Manor",66,0.935,10,2,9,963
"21.01.2017",,110663,1.607,12,1253,7977,496274
,"Guns of Boom",409,0.155,6,46,68,43825
,"Airport City",23239,1.417,14,490,1377,97185
,"Mirrors of Albion",21564,1.875,15,220,1437,76649
,"The Tribez",55378,1.976,11,413,4642,234949
,"Paradise Island 2",9970,1.045,14,83,446,42690
,"Mystery Manor",104,0.717,16,1,7,976
"22.01.2017",,89590,1.27,12,1418,6413,505099
,"Guns of Boom",717,0.122,14,40,51,41940
,"Airport City",26267,1.536,15,570,1514,98578
,"Mirrors of Albion",17503,1.773,12,364,1425,80377
,"The Tribez",28847,1.188,9,345,2847,239582
,"Paradise Island 2",16176,1.312,20,99,572,43588
,"Mystery Manor",80,0.387,21,,4,1034
"23.01.2017",,63701,0.835,14,874,4058,486227
,"Guns of Boom",492,0.101,13,24,39,38614
,"Airport City",18281,0.994,17,315,930,93581
,"Mirrors of Albion",13519,1.665,10,216,1289,77399
,"The Tribez",20618,0.586,15,254,1367,233336
,"Paradise Island 2",10685,1.005,18,65,425,42278
,"Mystery Manor",106,0.785,13,,8,1019
"24.01.2017",,62667,0.899,13,779,4304,478657
,"Guns of Boom",549,0.091,16,19,34,37527
,"Airport City",15552,0.871,18,270,797,91501
,"Mirrors of Albion",12808,1.872,10,199,1423,75998
,"The Tribez",22410,0.598,15,206,1378,230597
,"Paradise Island 2",11312,1.592,13,84,666,41828
,"Mystery Manor",35,0.498,6,1,6,1206
"25.01.2017",,59854,0.864,13,752,4086,472906
,"Guns of Boom",550,0.085,17,16,31,36350
,"Airport City",15108,0.861,19,267,784,91024
,"Mirrors of Albion",12448,1.855,9,185,1409,75945
,"The Tribez",21910,0.594,15,203,1349,227241
,"Paradise Island 2",9731,1.226,13,79,505,41191
,"Mystery Manor",108,0.693,10,2,8,1155
"26.01.2017",,60168,0.809,14,809,3839,474382
,"Guns of Boom",197,0.079,7,15,28,35571
,"Airport City",18664,0.985,18,284,896,90945
,"Mirrors of Albion",12256,1.519,10,187,1157,76168
,"The Tribez",20563,0.587,15,245,1326,225880
,"Paradise Island 2",8212,0.932,13,74,416,44657
,"Mystery Manor",276,1.378,19,4,16,1161
"27.01.2017",,180178,1.567,19,1159,7691,490784
,"Guns of Boom",446,0.081,15,23,29,35834
,"Airport City",80255,2.532,27,446,2353,92939
,"Mirrors of Albion",15603,1.678,12,208,1262,75228
,"The Tribez",66409,1.414,18,338,3198,226231
,"Paradise Island 2",17246,1.401,15,142,832,59372
,"Mystery Manor",219,1.441,18,2,17,1180
"28.01.2017",,185024,1.651,19,1358,8469,513090
,"Guns of Boom",647,0.12,14,30,47,39151
,"Airport City",54566,2.023,24,491,1955,96640
,"Mirrors of Albion",27604,2.227,15,247,1747,78445
,"The Tribez",79203,1.58,19,393,3619,229026
,"Paradise Island 2",22862,1.578,15,195,1082,68582
,"Mystery Manor",142,1.525,15,2,19,1246
"29.01.2017",,155912,1.449,17,1445,7766,536015
,"Guns of Boom",210,0.099,5,22,38,38481
,"Airport City",55771,2.123,22,564,2067,97384
,"Mirrors of Albion",23343,2.044,14,227,1640,80221
,"The Tribez",58708,1.308,17,386,3059,233889
,"Paradise Island 2",17806,1.123,13,244,952,84771
,"Mystery Manor",73,0.788,11,2,10,1269
"30.01.2017",,101525,1.115,16,1086,5802,520255
,"Guns of Boom",299,0.089,10,14,30,33729
,"Airport City",17749,1.031,18,325,956,92681
,"Mirrors of Albion",17565,1.693,13,157,1289,76146
,"The Tribez",44733,1.058,18,344,2426,229317
,"Paradise Island 2",21138,1.251,15,246,1090,87136
,"Mystery Manor",42,0.883,8,,11,1246
"31.01.2017",,62161,0.823,13,947,4182,508304
,"Guns of Boom",270,0.07,12,16,23,32713
,"Airport City",21089,0.99,22,316,907,91653
,"Mirrors of Albion",12617,1.818,9,156,1364,75027
